,"Welcome to the Global #GameDevSalaries Database for 2021. You have the ability to add, remove, and edit your information within this document whenever you'd like. Any questions can be directed in a DM to @EvvaKarr on Twitter or email me at evva at hey.com. If you're reposting this, credit and @me on Twitter. Giant thanks to @nicolaasvm for handling the formatting and upcoming visualizations once we have entries. Share using bit.ly/GameDevSalaries2021",,,,,,,,,,,,,,,,,,,,SUBMIT ANONYMOUS SALARY INFORMATION HERE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,,Job Title,,Country of Residence,,"State, Province, Territory, etc.",,City,,Gross Annual Salary,,Currency,,USD Gross Salary,,Company Size,,Years of Experience,,Hourly Rate,,Gender,,Do you identify as queer?,,Do you identify as disabled?,,Ethnicity,,Benefits,,Are you satisfied with your current salary?,,Are you satisfied with your current benefits?,,Are you a manager or team lead?,,Any additional comments you would like to add?,,Any words of wisdom for those currently seeking positions?,Job Category
,8/12/2021 17:00:42,,Game Design Intern,,United States,,CO,,Colorado Springs,,"40,000.00",,USD,,"$40,000.00",,11-50,,0-1,,20,,Male,,Yes,,Yes,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Work From Home",,Yes,,No,,No,,"Currently an intern working 40/hr a week, however it is only a 3 month contract. Negotiated my pay based on previous experience ",,,
,8/12/2021 17:01:38,,Senior Game Programmer,,United States,,WI,,Madison,,"82,000.00",,USD,,"$82,000.00",,11-50,,16+,,,,Female,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Life Insurance, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Vision Insurance, Work From Home, ""Unlimited"" PTO, office snacks?",,No,,Yes,,Yes,,I'm a parent,,You can work in this industry and not have to work insane overtime. ,
,8/12/2021 17:02:57,,Lead Live Services Engineer,,United States,,California,,San Diego,,"150,000.00",,USD,,"$150,000.00",,11-50,,11-15,,75,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Work From Home",,No,,No,,Yes,,,,,
,8/12/2021 17:12:13,,Senior Producer,,United States,,CA,,Los Angeles,,"256,000.00",,USD,,"$256,000.00",,51-250,,16+,,80,,Male,,No,,No,,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Stock Options, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 17:13:40,,Environment Artist,,USA,,Washington,,Seattle,,"70,000.00",,USD,,"$70,000.00",,51-250,,2-5,,,,Female,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Dental Insurance, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Paid Leave, Paternity Leave, Sick Leave, Vision Insurance, Work From Home",,No,,Yes,,No,,,,,
,8/12/2021 17:19:25,,Narrative Designer,,United States,,TX,,Austin,,"75,000.00",,USD,,"$75,000.00",,51-250,,2-5,,,,Female,,No,,No,,White (Original Peoples of Eastern Europe ),,"Dental Insurance, Health Insurance (Medical), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Sick Leave, Vision Insurance",,No,,Yes,,No,,,,,
,8/12/2021 17:20:23,,Programmer,,Canada,,British Columbia,,Vancouver,,"95,000.00",,CAD,,"$69,663.98",,51-250,,6-10,,,,Male,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Savings Account (HSA), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Transit Support, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 17:22:41,,Lighting Artist,,United States,,Washington,,Seattle,,"97,000.00",,USD,,"$97,000.00",,251-1000,,6-10,,,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Transit Support, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 17:24:37,,UI/UX Designer,,United Kingdom,,Warwickshire,,Leamington Spa,,"67,000.00",,GBP,,"$80,687.77",,11-50,,2-5,,,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Stock Options, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 17:26:53,,Game Designer II,,United States,,California,,Irvine,,"140,000.00",,USD,,"$140,000.00",,1000+,,6-10,,59,,Female,,Yes,,Yes,,White (Original Peoples of Eastern Europe ),,"Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Stock Options, Transit Support, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,You don't get what you don't ask for.,
,8/12/2021 17:30:50,,QA analyst,,United Kingdom,,West Yorkshire,,Wakefield,,"17,500.00",,GBP,,"$21,075.16",,51-250,,2-5,,,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Stock Options",,No,,Yes,,No,,,,Unionise,
,8/12/2021 17:34:37,,Associate Producer,,Canada,,Alberta,,Edmonton,,"55,250.00",,CAD,,"$40,515.10",,51-250,,2-5,,28.33,,Female,,No,,No,,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Sick Leave, Transit Support, Vision Insurance, Work From Home, Gym membership",,No,,Yes,,No,,"My two male, white coworkers with the same title and same amount of experience/slightly less experience make $65k",,"When you get a chance to negotiate your starting salary, go for what you're worth and then some!!! Also keep track of average salaries for your position and cost of living for your city! ",
,8/12/2021 17:35:21,,Systems Game Designer ,,United States,,California,,San diego,,"80,200.00",,USD,,"$80,200.00",,251-1000,,0-1,,38.46,,Male,,No,,No,,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent)",,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Transit Support, Vision Insurance, Work From Home",,No,,Yes,,No,,,,,
,8/12/2021 17:36:16,,Narrative Designer,,United States,,,,,,"54,000.00",,USD,,"$54,000.00",,1000+,,2-5,,,,Genderfluid,,Yes,,No,,"Asian (Original Peoples of the Far East, Southeast Asia, and the Indian subcontinent), Latinx (Original Peoples of Cuba, Haiti, Mexico, South or Central America, or other Spanish Culture)",,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Health Insurance (Medical), Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paternity Leave, Sick Leave, Transit Support, Vision Insurance, Work From Home",,No,,Yes,,No,,,,,
,8/12/2021 17:48:37,,Solo Developer,,United States,,WA,,Seattle,,0.00,,USD,,$0.00,,1-10,,6-10,,0,,Male,,No,,Yes,,White (Original Peoples of Eastern Europe ),,"Health Insurance (Medical), Work From Home",,No,,No,,No,,You may consider this non-useful data due to prelaunch/no sales. Most solo developers have savings or a day job.,,Thank your support system.,
,8/12/2021 17:49:36,,Narrative Designer,,Canada,,BC,,Vancouver,,"60,000.00",,CAD,,"$43,998.30",,11-50,,0-1,,30,,Male,,No,,No,,American Indian or Alaskan Native (Original Peoples of North and South America),,"Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Paid Leave, Paternity Leave, Sick Leave, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 17:51:19,,Game Designer,,United States,,OR,,Portland,,"45,000.00",,USD,,"$45,000.00",,1-10,,2-5,,22,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Health Insurance (Medical), Paid Leave, Sick Leave, Work From Home",,No,,No,,Yes,,,,,
,8/12/2021 17:54:50,,Production Coordinator,,United Kingdom,,,,,,"29,000.00",,GBP,,"$34,924.56",,251-1000,,2-5,,15,,Female,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Life Insurance, Maternity Leave, Paid Leave, Paternity Leave, Sick Leave, Stock Options",,No,,Yes,,Yes,,,,,
,8/12/2021 17:55:19,,Producer,,Canada,,Quebec,,Montreal,,"60,000.00",,CAD,,"$43,998.30",,11-50,,2-5,,30,,Woman,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Health Insurance (Medical), Life Insurance, Maternity Leave, Paid Leave, Paternity Leave, Sick Leave, Work From Home",,,,Yes,,No,,,,,
,8/12/2021 17:57:14,,First Person Animator,,Poland,,,,Warsaw,,"60,000.00",,PLN,,"$13,704.46",,51-250,,2-5,,,,Non-binary trans femme,,Yes,,Yes,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Health Insurance (Medical), Paid Leave, Sick Leave, Work From Home",,No,,Yes,,No,,"There's apparently bonuses, but they haven't happened while I was there.",,,
,8/12/2021 17:59:31,,Designer,,United States,,MA,,Boston,,"90,000.00",,USD,,"$90,000.00",,51-250,,6-10,,,,Non-binary,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Stock Options, Transit Support, Vision Insurance, Work From Home",,Yes,,Yes,,Yes,,,,,
,8/12/2021 18:06:03,,Production Manager,,United States,,WI,,Madison,,"75,000.00",,USD,,"$75,000.00",,11-50,,6-10,,39,,Woman/Female,,Yes,,Yes,,White (Original Peoples of Eastern Europe ),,"Dental Insurance, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Vision Insurance, Work From Home",,Yes,,Yes,,Yes,,,,"If asking for an hourly rate, take what you feel comfortable with and double it, especially if you don't have benefits!!!",
,8/12/2021 18:06:26,,Senior Level Designer,,United States,,Washington,,Seattle,,"170,000.00",,USD,,"$170,000.00",,1000+,,11-15,,,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave, Vision Insurance, Work From Home",,Yes,,Yes,,No,,,,"Ask for more. Ask for more money. Ask for yearly raises. Ask for a signing bonus. Ask for an at-home work stipend if it's supported. Companies aren't going to necessarily hand things thing over to you, but you'd be surprised how often you can get them if you ask. ",
,8/12/2021 18:07:58,,QA Tester,,USA,,IL,,Chicago,,"44,000.00",,USD,,"$44,000.00",,11-50,,0-1,,22,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Work From Home",,Yes,,,,No,,"Position started out as $20/h, 20h/week. By the end of the 6 month contract the new contract became $22/h, 40h/week.",,,
,8/12/2021 18:08:17,,Writer,,Canada,,British Columbia,,Vancouver,,"70,000.00",,CAD,,"$51,331.35",,1-10,,2-5,,60,,Nonbinary,,Yes,,Yes,,White (Original Peoples of Eastern Europe ),,"Flexible Work Hours, Work From Home",,Yes,,Yes,,No,,,,,
,8/12/2021 18:11:14,,UI lead,,united states,,washington,,seattle,,"95,000.00",,USD,,"$95,000.00",,1-10,,6-10,,49.5,,nb,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Dental Insurance, Paid Leave, Sick Leave, Stock Options, Work From Home",,No,,No,,Yes,,,,,
,8/12/2021 18:16:24,,Senior Engineer,,United States,,CA,,Irvine,,"131,461.00",,USD,,"$131,461.00",,1000+,,11-15,,,,non-binary,,Yes,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Flexible Work Hours, Health Insurance (Medical), Health Savings Account (HSA), Life Insurance, Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.), Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Paternity Leave, Sick Leave",,,,,,No,,,,,
,8/12/2021 18:17:33,,Lead Environment Artist,,United States,,CA,,Irvine,,"106,000.00",,USD,,"$106,000.00",,51-250,,11-15,,53,,Male,,No,,No,,White (Original Peoples of Eastern Europe ),,"Bonus Structure (project based, profit sharing, etc.), Dental Insurance, Health Insurance (Medical), Maternity Leave, Retirement Savings Plan (RRSP, 401(k), etc.) + Matching Contributions, Paid Leave, Sick Leave, Vision Insurance, Work From Home",,Yes,,Yes,,Yes,,,,,
